sample	gene_name	gene_length	width_cov	hits
FAT_020-22-42-0_came_itself	caer:CSV91_03105	729	274	4
FAT_020-22-42-0_came_itself	cct:CC1_02400	714	199	3
FAT_020-22-42-0_came_itself	eel:EUBELI_01662	714	239	4
FAT_020-22-42-0_came_itself	ere:EUBREC_0087	714	416	5
FAT_020-22-42-0_came_itself	rix:RO1_33960	735	506	10
FAT_020-22-42-0_came_itself	rum:CK1_37030	765	318	5
FAT_020-22-84-0_gone	caer:CSV91_03105	729	208	5
FAT_020-22-84-0_gone	cct:CC1_02400	714	336	5
FAT_020-22-84-0_gone	eel:EUBELI_01662	714	199	4
FAT_020-22-84-0_gone	ere:EUBREC_0087	714	252	7
FAT_020-22-84-0_gone	gpa:GPA_18440	699	88	1
FAT_020-22-84-0_gone	rix:RO1_33960	735	349	6
FAT_020-22-84-0_gone	rum:CK1_37030	765	97	2
FAT_012-22-42-0_came_itself	caer:CSV91_03105	729	667	27
FAT_012-22-42-0_came_itself	cct:CC1_02400	714	268	6
FAT_012-22-42-0_came_itself	eel:EUBELI_01662	714	160	3
FAT_012-22-42-0_came_itself	erb:A4V01_10505	705	92	1
FAT_012-22-42-0_came_itself	ere:EUBREC_0087	714	294	4
FAT_012-22-42-0_came_itself	rix:RO1_33960	735	93	1
FAT_012-22-42-0_came_itself	rum:CK1_37030	765	371	10
FAT_006-22-2-0_stay	caer:CSV91_03105	729	544	16
FAT_006-22-2-0_stay	cct:CC1_02400	714	617	186
FAT_006-22-2-0_stay	eel:EUBELI_01662	714	698	75
FAT_006-22-2-0_stay	ere:EUBREC_0087	714	695	121
FAT_006-22-2-0_stay	rix:RO1_33960	735	718	100
FAT_006-22-2-0_stay	rum:CK1_37030	765	765	801
FAT_008-22-42-0_settle	caer:CSV91_03105	729	709	96
FAT_008-22-42-0_settle	cct:CC1_02400	714	629	2160
FAT_008-22-42-0_settle	eel:EUBELI_01662	714	711	1105
FAT_008-22-42-0_settle	ere:EUBREC_0087	714	714	1838
FAT_008-22-42-0_settle	rix:RO1_33960	735	735	1319
FAT_008-22-42-0_settle	rum:CK1_37030	765	765	1567
FAT_020-22-14-0_came_itself	caer:CSV91_03105	729	228	6
FAT_020-22-14-0_came_itself	cct:CC1_02400	714	466	16
FAT_020-22-14-0_came_itself	eel:EUBELI_01662	714	444	13
FAT_020-22-14-0_came_itself	ere:EUBREC_0087	714	658	34
FAT_020-22-14-0_came_itself	rix:RO1_33960	735	500	8
FAT_020-22-14-0_came_itself	rum:CK1_37030	765	101	3
FAT_008-22-2-0_stay	caer:CSV91_03105	729	334	9
FAT_008-22-2-0_stay	cct:CC1_02400	714	606	175
FAT_008-22-2-0_stay	eel:EUBELI_01662	714	698	91
FAT_008-22-2-0_stay	ere:EUBREC_0087	714	695	148
FAT_008-22-2-0_stay	rix:RO1_33960	735	721	145
FAT_008-22-2-0_stay	rum:CK1_37030	765	765	1088
FAT_008-22-2-0_came_from_both	caer:CSV91_03105	729	139	2
FAT_008-22-2-0_came_from_both	cct:CC1_02400	714	615	458
FAT_008-22-2-0_came_from_both	eel:EUBELI_01662	714	706	255
FAT_008-22-2-0_came_from_both	ere:EUBREC_0087	714	710	438
FAT_008-22-2-0_came_from_both	rix:RO1_33960	735	735	347
FAT_008-22-2-0_came_from_both	rum:CK1_37030	765	765	1528
FAT_015-22-14-0_not_settle	caer:CSV91_03105	729	188	2
FAT_015-22-14-0_not_settle	cct:CC1_02400	714	660	79
FAT_015-22-14-0_not_settle	eel:EUBELI_01662	714	570	54
FAT_015-22-14-0_not_settle	ele:Elen_1167	699	93	1
FAT_015-22-14-0_not_settle	erb:A4V01_10505	705	317	4
FAT_015-22-14-0_not_settle	ere:EUBREC_0087	714	692	90
FAT_015-22-14-0_not_settle	gpa:GPA_18440	699	145	2
FAT_015-22-14-0_not_settle	rix:RO1_33960	735	658	42
FAT_015-22-14-0_not_settle	rob:CK5_35820	705	271	5
FAT_015-22-14-0_not_settle	rum:CK1_37030	765	755	34
FAT_012-22-84-0_came_from_donor	cct:CC1_02400	714	465	19
FAT_012-22-84-0_came_from_donor	eel:EUBELI_01662	714	290	10
FAT_012-22-84-0_came_from_donor	ere:EUBREC_0087	714	459	14
FAT_012-22-84-0_came_from_donor	rix:RO1_33960	735	400	8
FAT_012-22-84-0_came_from_donor	rum:CK1_37030	765	145	2
SPB_T42_stay	caer:CSV91_03105	729	221	2
SPB_T42_stay	cct:CC1_02400	714	565	62
SPB_T42_stay	eel:EUBELI_01662	714	435	54
SPB_T42_stay	ere:EUBREC_0087	714	714	170
SPB_T42_stay	rix:RO1_33960	735	696	39
SPB_T42_stay	rum:CK1_37030	765	765	104
R01_W4_came_from_donor	caer:CSV91_03105	729	729	105
R01_W4_came_from_donor	cct:CC1_02400	714	150	1
R01_W4_came_from_donor	rix:RO1_33960	735	211	3
R01_W4_came_from_donor	rum:CK1_37030	765	151	1
FAT_015-22-14-0_came_from_before	caer:CSV91_03105	729	144	3
SPB_T36_came_from_both	caer:CSV91_03105	729	278	4
SPB_T36_came_from_both	cct:CC1_02400	714	596	100
SPB_T36_came_from_both	eel:EUBELI_01662	714	429	24
SPB_T36_came_from_both	ere:EUBREC_0087	714	705	68
SPB_T36_came_from_both	rix:RO1_33960	735	723	50
SPB_T36_came_from_both	rum:CK1_37030	765	755	30
FAT_012-22-2-0_came_from_both	cct:CC1_02400	714	595	471
FAT_012-22-2-0_came_from_both	eel:EUBELI_01662	714	704	255
FAT_012-22-2-0_came_from_both	ere:EUBREC_0087	714	712	365
FAT_012-22-2-0_came_from_both	rix:RO1_33960	735	733	288
FAT_012-22-2-0_came_from_both	rum:CK1_37030	765	765	346
FAT_015-22-42-0_settle	caer:CSV91_03105	729	719	130
FAT_015-22-42-0_settle	cct:CC1_02400	714	628	1907
FAT_015-22-42-0_settle	eel:EUBELI_01662	714	711	1098
FAT_015-22-42-0_settle	ere:EUBREC_0087	714	714	1688
FAT_015-22-42-0_settle	rix:RO1_33960	735	734	1251
FAT_015-22-42-0_settle	rum:CK1_37030	765	765	1473
SPB_T39_gone	cct:CC1_02400	714	69	1
SPB_T39_gone	ele:Elen_1167	699	560	6
SPB_T39_gone	ere:EUBREC_0087	714	271	2
SPB_T39_gone	gpa:GPA_18440	699	247	1
SPB_T39_gone	llk:LLKF_1298	678	352	2
SPB_T39_gone	rix:RO1_33960	735	328	3
SPB_T39_gone	rum:CK1_37030	765	198	1
FAT_006-22-14-0_stay	caer:CSV91_03105	729	510	25
FAT_006-22-14-0_stay	cct:CC1_02400	714	662	187
FAT_006-22-14-0_stay	eel:EUBELI_01662	714	662	64
FAT_006-22-14-0_stay	ere:EUBREC_0087	714	709	164
FAT_006-22-14-0_stay	rix:RO1_33960	735	720	120
FAT_006-22-14-0_stay	rum:CK1_37030	765	765	883
SPB_T33_not_settle	caer:CSV91_03105	729	488	8
SPB_T33_not_settle	cct:CC1_02400	714	708	75
SPB_T33_not_settle	eel:EUBELI_01662	714	430	32
SPB_T33_not_settle	ele:Elen_1167	699	320	2
SPB_T33_not_settle	ere:EUBREC_0087	714	701	84
SPB_T33_not_settle	gpa:GPA_18440	699	333	2
SPB_T33_not_settle	rix:RO1_33960	735	726	43
SPB_T33_not_settle	rum:CK1_37030	765	298	4
FAT_012-22-84-0_came_from_both	caer:CSV91_03105	729	316	6
FAT_012-22-84-0_came_from_both	cct:CC1_02400	714	678	617
FAT_012-22-84-0_came_from_both	eel:EUBELI_01662	714	704	325
FAT_012-22-84-0_came_from_both	ere:EUBREC_0087	714	713	472
FAT_012-22-84-0_came_from_both	rix:RO1_33960	735	732	349
FAT_012-22-84-0_came_from_both	rum:CK1_37030	765	765	509
FAT_015-22-14-0_settle	caer:CSV91_03105	729	709	81
FAT_015-22-14-0_settle	cct:CC1_02400	714	673	2240
FAT_015-22-14-0_settle	eel:EUBELI_01662	714	711	1168
FAT_015-22-14-0_settle	ere:EUBREC_0087	714	714	1915
FAT_015-22-14-0_settle	psor:RSJ16_09120	705	174	2
FAT_015-22-14-0_settle	rix:RO1_33960	735	733	1435
FAT_015-22-14-0_settle	rum:CK1_37030	765	765	1395
FAT_008-22-42-0_not_settle	cct:CC1_02400	714	694	37
FAT_008-22-42-0_not_settle	eel:EUBELI_01662	714	495	57
FAT_008-22-42-0_not_settle	ele:Elen_1167	699	93	1
FAT_008-22-42-0_not_settle	erb:A4V01_10505	705	317	4
FAT_008-22-42-0_not_settle	ere:EUBREC_0087	714	677	58
FAT_008-22-42-0_not_settle	psor:RSJ16_09120	705	106	2
FAT_008-22-42-0_not_settle	rix:RO1_33960	735	607	56
FAT_008-22-42-0_not_settle	rum:CK1_37030	765	746	27
FAT_012-22-14-0_settle	caer:CSV91_03105	729	369	6
FAT_012-22-14-0_settle	cct:CC1_02400	714	654	470
FAT_012-22-14-0_settle	eel:EUBELI_01662	714	708	282
FAT_012-22-14-0_settle	ere:EUBREC_0087	714	714	435
FAT_012-22-14-0_settle	rix:RO1_33960	735	734	357
FAT_012-22-14-0_settle	rum:CK1_37030	765	765	570
FAT_020-22-42-0_stay	caer:CSV91_03105	729	575	21
FAT_020-22-42-0_stay	cct:CC1_02400	714	605	642
FAT_020-22-42-0_stay	eel:EUBELI_01662	714	709	413
FAT_020-22-42-0_stay	ere:EUBREC_0087	714	712	648
FAT_020-22-42-0_stay	rix:RO1_33960	735	732	439
FAT_020-22-42-0_stay	rum:CK1_37030	765	765	146
FAT_012-22-84-0_came_from_before	caer:CSV91_03105	729	440	23
FAT_012-22-84-0_came_from_before	cct:CC1_02400	714	125	2
FAT_012-22-84-0_came_from_before	eel:EUBELI_01662	714	92	1
FAT_012-22-84-0_came_from_before	ere:EUBREC_0087	714	92	1
FAT_012-22-84-0_came_from_before	rix:RO1_33960	735	159	2
FAT_012-22-84-0_came_from_before	rum:CK1_37030	765	353	7
SPB_T23_settle	cct:CC1_02400	714	640	169
SPB_T23_settle	eel:EUBELI_01662	714	428	41
SPB_T23_settle	ere:EUBREC_0087	714	714	104
SPB_T23_settle	rix:RO1_33960	735	719	59
SPB_T23_settle	rum:CK1_37030	765	765	109
FAT_020-22-42-0_came_from_donor	caer:CSV91_03105	729	155	2
SPB_T39_came_itself	acq:AM609_08255	771	124	1
SPB_T39_came_itself	caer:CSV91_03105	729	495	6
SPB_T39_came_itself	ele:Elen_1167	699	245	2
SPB_T39_came_itself	rix:RO1_33960	735	125	1
SPB_T39_came_itself	rum:CK1_37030	765	394	4
FAT_015-22-2-0_gone	caer:CSV91_03105	729	274	6
FAT_015-22-2-0_gone	cct:CC1_02400	714	442	12
FAT_015-22-2-0_gone	eel:EUBELI_01662	714	265	5
FAT_015-22-2-0_gone	ele:Elen_1167	699	141	2
FAT_015-22-2-0_gone	erb:A4V01_10505	705	264	3
FAT_015-22-2-0_gone	ere:EUBREC_0087	714	552	13
FAT_015-22-2-0_gone	rix:RO1_33960	735	563	25
FAT_015-22-2-0_gone	rum:CK1_37030	765	634	18
R01_W4_came_itself	caer:CSV91_03105	729	711	36
R01_W4_came_itself	eel:EUBELI_01662	714	150	1
R01_W4_came_itself	gpa:GPA_18440	699	151	1
R01_W4_came_itself	rix:RO1_33960	735	143	1
R01_W4_came_itself	rum:CK1_37030	765	495	5
SPB_T33_gone	acq:AM609_08255	771	214	2
SPB_T33_gone	caer:CSV91_03105	729	173	2
SPB_T33_gone	cct:CC1_02400	714	311	3
SPB_T33_gone	ele:Elen_1167	699	191	2
SPB_T33_gone	erb:A4V01_10505	705	477	5
SPB_T33_gone	gpa:GPA_18440	699	207	1
FAT_012-22-84-0_came_itself	caer:CSV91_03105	729	324	10
FAT_012-22-84-0_came_itself	cct:CC1_02400	714	214	3
FAT_012-22-84-0_came_itself	eel:EUBELI_01662	714	193	3
FAT_012-22-84-0_came_itself	ere:EUBREC_0087	714	473	18
FAT_012-22-84-0_came_itself	rix:RO1_33960	735	314	8
FAT_012-22-84-0_came_itself	rum:CK1_37030	765	173	2
SPB_T29_gone	caer:CSV91_03105	729	595	38
SPB_T29_gone	cct:CC1_02400	714	686	9
SPB_T29_gone	eel:EUBELI_01662	714	286	4
SPB_T29_gone	ele:Elen_1167	699	514	4
SPB_T29_gone	ere:EUBREC_0087	714	610	22
SPB_T29_gone	rix:RO1_33960	735	354	6
SPB_T29_gone	rum:CK1_37030	765	354	4
FAT_012-22-84-0_gone	caer:CSV91_03105	729	235	6
FAT_012-22-84-0_gone	cct:CC1_02400	714	581	33
FAT_012-22-84-0_gone	eel:EUBELI_01662	714	581	25
FAT_012-22-84-0_gone	erb:A4V01_10505	705	385	12
FAT_012-22-84-0_gone	ere:EUBREC_0087	714	567	26
FAT_012-22-84-0_gone	psor:RSJ16_09120	705	88	1
FAT_012-22-84-0_gone	rix:RO1_33960	735	693	42
FAT_012-22-84-0_gone	rum:CK1_37030	765	745	21
R01_W4_settle	caer:CSV91_03105	729	728	79
R01_W4_settle	cct:CC1_02400	714	713	171
R01_W4_settle	eel:EUBELI_01662	714	579	47
R01_W4_settle	ere:EUBREC_0087	714	714	125
R01_W4_settle	rix:RO1_33960	735	735	125
R01_W4_settle	rum:CK1_37030	765	765	191
R02_W4_came_from_both	cct:CC1_02400	714	518	82
R02_W4_came_from_both	eel:EUBELI_01662	714	410	25
R02_W4_came_from_both	ere:EUBREC_0087	714	641	57
R02_W4_came_from_both	rix:RO1_33960	735	565	39
R02_W4_came_from_both	rum:CK1_37030	765	691	132
FAT_006-22-14-0_came_itself	caer:CSV91_03105	729	77	1
FAT_006-22-14-0_came_itself	cct:CC1_02400	714	237	3
FAT_006-22-14-0_came_itself	eel:EUBELI_01662	714	183	3
FAT_006-22-14-0_came_itself	ere:EUBREC_0087	714	308	5
FAT_006-22-14-0_came_itself	rix:RO1_33960	735	87	3
FAT_006-22-14-0_came_itself	rum:CK1_37030	765	663	20
R02_W8_came_itself	caer:CSV91_03105	729	144	1
R02_W8_came_itself	cct:CC1_02400	714	436	6
R02_W8_came_itself	eel:EUBELI_01662	714	301	2
R02_W8_came_itself	ere:EUBREC_0087	714	600	7
R02_W8_came_itself	rix:RO1_33960	735	558	7
R02_W8_came_itself	rum:CK1_37030	765	298	2
FAT_006-22-2-0_came_from_donor	caer:CSV91_03105	729	123	3
FAT_006-22-2-0_came_from_donor	eel:EUBELI_01662	714	62	1
FAT_006-22-2-0_came_from_donor	ere:EUBREC_0087	714	187	4
R01_W8_came_itself	caer:CSV91_03105	729	674	29
R01_W8_came_itself	cct:CC1_02400	714	146	1
R01_W8_came_itself	ere:EUBREC_0087	714	150	1
R01_W8_came_itself	rum:CK1_37030	765	741	30
FAT_020-22-42-0_came_from_before	caer:CSV91_03105	729	465	8
FAT_020-22-42-0_came_from_before	cct:CC1_02400	714	69	1
FAT_008-22-84-0_gone	caer:CSV91_03105	729	367	9
FAT_008-22-84-0_gone	cct:CC1_02400	714	183	2
FAT_008-22-84-0_gone	eel:EUBELI_01662	714	266	4
FAT_008-22-84-0_gone	ele:Elen_1167	699	424	7
FAT_008-22-84-0_gone	ere:EUBREC_0087	714	187	2
FAT_008-22-84-0_gone	rix:RO1_33960	735	194	3
FAT_008-22-84-0_gone	rum:CK1_37030	765	708	41
SPB_T27_not_settle	cct:CC1_02400	714	575	7
SPB_T27_not_settle	eel:EUBELI_01662	714	331	6
SPB_T27_not_settle	ele:Elen_1167	699	514	4
SPB_T27_not_settle	gpa:GPA_18440	699	333	2
SPB_T27_not_settle	rix:RO1_33960	735	260	7
SPB_T27_not_settle	rum:CK1_37030	765	298	4
FAT_015-22-14-0_came_from_both	caer:CSV91_03105	729	655	31
FAT_015-22-14-0_came_from_both	cct:CC1_02400	714	636	428
FAT_015-22-14-0_came_from_both	eel:EUBELI_01662	714	698	265
FAT_015-22-14-0_came_from_both	ere:EUBREC_0087	714	712	461
FAT_015-22-14-0_came_from_both	rix:RO1_33960	735	735	322
FAT_015-22-14-0_came_from_both	rum:CK1_37030	765	765	383
SPB_T42_came_itself	caer:CSV91_03105	729	320	6
SPB_T42_came_itself	rum:CK1_37030	765	308	2
SPB_T41_not_settle	caer:CSV91_03105	729	612	16
SPB_T41_not_settle	cct:CC1_02400	714	708	77
SPB_T41_not_settle	ele:Elen_1167	699	514	4
SPB_T41_not_settle	ere:EUBREC_0087	714	545	32
SPB_T41_not_settle	gpa:GPA_18440	699	333	2
SPB_T41_not_settle	rix:RO1_33960	735	517	14
SPB_T41_not_settle	rum:CK1_37030	765	298	4
SPB_T36_not_settle	caer:CSV91_03105	729	371	2
SPB_T36_not_settle	cct:CC1_02400	714	242	1
SPB_T36_not_settle	eel:EUBELI_01662	714	270	4
SPB_T36_not_settle	ele:Elen_1167	699	514	4
SPB_T36_not_settle	ere:EUBREC_0087	714	592	5
SPB_T36_not_settle	gpa:GPA_18440	699	333	2
SPB_T36_not_settle	rix:RO1_33960	735	206	2
SPB_T36_not_settle	rum:CK1_37030	765	298	4
FAT_008-22-14-0_came_itself	caer:CSV91_03105	729	73	2
FAT_008-22-14-0_came_itself	eel:EUBELI_01662	714	77	1
FAT_008-22-14-0_came_itself	erb:A4V01_10505	705	680	28
FAT_008-22-14-0_came_itself	ere:EUBREC_0087	714	93	1
FAT_008-22-14-0_came_itself	gpa:GPA_18440	699	546	14
FAT_008-22-14-0_came_itself	rob:CK5_35820	705	705	77
FAT_008-22-14-0_came_itself	rum:CK1_37030	765	695	16
FAT_006-22-14-0_settle	caer:CSV91_03105	729	323	5
FAT_006-22-14-0_settle	cct:CC1_02400	714	668	1534
FAT_006-22-14-0_settle	eel:EUBELI_01662	714	710	869
FAT_006-22-14-0_settle	ere:EUBREC_0087	714	713	1286
FAT_006-22-14-0_settle	rix:RO1_33960	735	734	956
FAT_006-22-14-0_settle	rum:CK1_37030	765	765	1361
SPB_T35_stay	caer:CSV91_03105	729	597	52
SPB_T35_stay	cct:CC1_02400	714	622	291
SPB_T35_stay	eel:EUBELI_01662	714	556	110
SPB_T35_stay	ere:EUBREC_0087	714	713	158
SPB_T35_stay	rix:RO1_33960	735	726	179
SPB_T35_stay	rum:CK1_37030	765	765	348
SPB_T35_came_from_both	caer:CSV91_03105	729	376	8
SPB_T35_came_from_both	cct:CC1_02400	714	556	56
SPB_T35_came_from_both	eel:EUBELI_01662	714	387	20
SPB_T35_came_from_both	ere:EUBREC_0087	714	665	52
SPB_T35_came_from_both	rix:RO1_33960	735	705	48
SPB_T35_came_from_both	rum:CK1_37030	765	693	48
SPB_T41_gone	caer:CSV91_03105	729	214	1
SPB_T41_gone	cct:CC1_02400	714	360	3
SPB_T41_gone	ele:Elen_1167	699	690	12
SPB_T41_gone	ere:EUBREC_0087	714	271	2
SPB_T41_gone	gpa:GPA_18440	699	247	1
SPB_T41_gone	llk:LLKF_1298	678	352	2
SPB_T41_gone	rum:CK1_37030	765	249	2
FAT_008-22-84-0_settle	caer:CSV91_03105	729	679	50
FAT_008-22-84-0_settle	cct:CC1_02400	714	700	1931
FAT_008-22-84-0_settle	eel:EUBELI_01662	714	712	1088
FAT_008-22-84-0_settle	ere:EUBREC_0087	714	713	1821
FAT_008-22-84-0_settle	rix:RO1_33960	735	733	1297
FAT_008-22-84-0_settle	rum:CK1_37030	765	765	1501
FAT_008-22-2-0_came_from_donor	caer:CSV91_03105	729	402	22
FAT_008-22-2-0_came_from_donor	cct:CC1_02400	714	476	8
FAT_008-22-2-0_came_from_donor	eel:EUBELI_01662	714	517	29
FAT_008-22-2-0_came_from_donor	ere:EUBREC_0087	714	543	33
FAT_008-22-2-0_came_from_donor	rix:RO1_33960	735	636	29
FAT_008-22-2-0_came_from_donor	rum:CK1_37030	765	263	3
FAT_008-22-84-0_came_from_donor	caer:CSV91_03105	729	349	8
FAT_008-22-84-0_came_from_donor	cct:CC1_02400	714	263	3
FAT_008-22-84-0_came_from_donor	eel:EUBELI_01662	714	226	4
FAT_008-22-84-0_came_from_donor	ere:EUBREC_0087	714	274	3
FAT_008-22-84-0_came_from_donor	rum:CK1_37030	765	311	4
FAT_020-22-2-0_stay	caer:CSV91_03105	729	161	2
FAT_020-22-2-0_stay	cct:CC1_02400	714	614	534
FAT_020-22-2-0_stay	eel:EUBELI_01662	714	706	425
FAT_020-22-2-0_stay	ere:EUBREC_0087	714	714	618
FAT_020-22-2-0_stay	rix:RO1_33960	735	732	395
FAT_020-22-2-0_stay	rum:CK1_37030	765	764	137
FAT_020-22-2-0_came_from_donor	caer:CSV91_03105	729	267	6
FAT_020-22-2-0_came_from_donor	cct:CC1_02400	714	503	17
FAT_020-22-2-0_came_from_donor	eel:EUBELI_01662	714	217	7
FAT_020-22-2-0_came_from_donor	ere:EUBREC_0087	714	370	7
FAT_020-22-2-0_came_from_donor	rix:RO1_33960	735	172	2
R01_W8_gone	acq:AM609_08255	771	301	2
R01_W8_gone	caer:CSV91_03105	729	216	3
R01_W8_gone	cct:CC1_02400	714	712	26
R01_W8_gone	eel:EUBELI_01662	714	356	6
R01_W8_gone	ele:Elen_1167	699	674	9
R01_W8_gone	erb:A4V01_10505	705	695	39
R01_W8_gone	ere:EUBREC_0087	714	577	12
R01_W8_gone	psor:RSJ16_09120	705	150	1
R01_W8_gone	rix:RO1_33960	735	735	22
R01_W8_gone	rum:CK1_37030	765	764	91
R01_W8_came_from_both	cct:CC1_02400	714	481	8
R01_W8_came_from_both	ere:EUBREC_0087	714	444	6
R01_W8_came_from_both	rix:RO1_33960	735	364	4
R01_W8_came_from_both	rum:CK1_37030	765	765	195
FAT_020-22-14-0_stay	caer:CSV91_03105	729	677	108
FAT_020-22-14-0_stay	cct:CC1_02400	714	642	629
FAT_020-22-14-0_stay	eel:EUBELI_01662	714	712	428
FAT_020-22-14-0_stay	ere:EUBREC_0087	714	714	659
FAT_020-22-14-0_stay	rix:RO1_33960	735	731	403
FAT_020-22-14-0_stay	rum:CK1_37030	765	765	172
FAT_006-22-84-0_came_from_before	caer:CSV91_03105	729	538	12
FAT_008-22-14-0_not_settle	caer:CSV91_03105	729	315	8
FAT_008-22-14-0_not_settle	cct:CC1_02400	714	648	115
FAT_008-22-14-0_not_settle	eel:EUBELI_01662	714	488	110
FAT_008-22-14-0_not_settle	ele:Elen_1167	699	93	1
FAT_008-22-14-0_not_settle	erb:A4V01_10505	705	173	2
FAT_008-22-14-0_not_settle	ere:EUBREC_0087	714	661	175
FAT_008-22-14-0_not_settle	psor:RSJ16_09120	705	193	3
FAT_008-22-14-0_not_settle	rix:RO1_33960	735	694	68
FAT_008-22-14-0_not_settle	rum:CK1_37030	765	755	29
SPB_T42_came_from_donor	caer:CSV91_03105	729	185	2
SPB_T42_came_from_donor	cct:CC1_02400	714	228	2
R02_W4_gone	cct:CC1_02400	714	301	2
R02_W4_gone	ele:Elen_1167	699	301	2
R02_W4_gone	gpa:GPA_18440	699	151	1
R02_W4_gone	rum:CK1_37030	765	300	2
SPB_T42_not_settle	caer:CSV91_03105	729	371	6
SPB_T42_not_settle	cct:CC1_02400	714	483	6
SPB_T42_not_settle	eel:EUBELI_01662	714	427	37
SPB_T42_not_settle	ele:Elen_1167	699	514	4
SPB_T42_not_settle	ere:EUBREC_0087	714	646	28
SPB_T42_not_settle	gpa:GPA_18440	699	333	2
SPB_T42_not_settle	rix:RO1_33960	735	690	29
SPB_T42_not_settle	rum:CK1_37030	765	298	4
FAT_008-22-2-0_came_itself	caer:CSV91_03105	729	378	8
FAT_008-22-2-0_came_itself	cct:CC1_02400	714	248	6
FAT_008-22-2-0_came_itself	eel:EUBELI_01662	714	311	5
FAT_008-22-2-0_came_itself	ele:Elen_1167	699	89	1
FAT_008-22-2-0_came_itself	erb:A4V01_10505	705	568	30
FAT_008-22-2-0_came_itself	ere:EUBREC_0087	714	420	9
FAT_008-22-2-0_came_itself	gpa:GPA_18440	699	466	11
FAT_008-22-2-0_came_itself	rix:RO1_33960	735	184	4
FAT_008-22-2-0_came_itself	rob:CK5_35820	705	90	1
FAT_008-22-2-0_came_itself	rum:CK1_37030	765	533	19
FAT_008-22-2-0_came_itself	spy:SPy_1085	690	88	1
FAT_015-22-84-0_came_from_both	caer:CSV91_03105	729	677	48
FAT_015-22-84-0_came_from_both	cct:CC1_02400	714	622	205
FAT_015-22-84-0_came_from_both	eel:EUBELI_01662	714	690	129
FAT_015-22-84-0_came_from_both	ere:EUBREC_0087	714	707	168
FAT_015-22-84-0_came_from_both	rix:RO1_33960	735	724	120
FAT_015-22-84-0_came_from_both	rum:CK1_37030	765	761	423
SPB_T41_came_itself	acq:AM609_08255	771	250	1
SPB_T41_came_itself	caer:CSV91_03105	729	647	8
SPB_T41_came_itself	cct:CC1_02400	714	532	3
SPB_T41_came_itself	rix:RO1_33960	735	144	1
SPB_T41_came_itself	rob:CK5_35820	705	299	2
FAT_020-22-14-0_not_settle	caer:CSV91_03105	729	715	61
FAT_020-22-14-0_not_settle	cct:CC1_02400	714	477	9
FAT_020-22-14-0_not_settle	eel:EUBELI_01662	714	447	15
FAT_020-22-14-0_not_settle	ele:Elen_1167	699	59	1
FAT_020-22-14-0_not_settle	erb:A4V01_10505	705	217	3
FAT_020-22-14-0_not_settle	ere:EUBREC_0087	714	318	9
FAT_020-22-14-0_not_settle	llk:LLKF_1298	678	159	2
FAT_020-22-14-0_not_settle	rix:RO1_33960	735	543	15
FAT_020-22-14-0_not_settle	rum:CK1_37030	765	390	12
SPB_T25_came_itself	cct:CC1_02400	714	356	3
SPB_T25_came_itself	eel:EUBELI_01662	714	304	2
SPB_T25_came_itself	erb:A4V01_10505	705	250	1
SPB_T25_came_itself	ere:EUBREC_0087	714	365	3
SPB_T25_came_itself	rix:RO1_33960	735	249	1
SPB_T25_came_itself	rum:CK1_37030	765	266	4
SPB_T25_came_itself	spy:SPy_1085	690	301	5
FAT_012-22-42-0_came_from_both	cct:CC1_02400	714	591	226
FAT_012-22-42-0_came_from_both	eel:EUBELI_01662	714	700	112
FAT_012-22-42-0_came_from_both	ere:EUBREC_0087	714	703	195
FAT_012-22-42-0_came_from_both	rix:RO1_33960	735	729	121
FAT_012-22-42-0_came_from_both	rum:CK1_37030	765	765	344
FAT_012-22-2-0_stay	caer:CSV91_03105	729	176	8
FAT_012-22-2-0_stay	cct:CC1_02400	714	689	838
FAT_012-22-2-0_stay	eel:EUBELI_01662	714	711	370
FAT_012-22-2-0_stay	ere:EUBREC_0087	714	714	669
FAT_012-22-2-0_stay	rix:RO1_33960	735	735	714
FAT_012-22-2-0_stay	rum:CK1_37030	765	765	1795
SPB_T29_not_settle	cct:CC1_02400	714	660	12
SPB_T29_not_settle	eel:EUBELI_01662	714	315	4
SPB_T29_not_settle	ele:Elen_1167	699	514	4
SPB_T29_not_settle	ere:EUBREC_0087	714	511	6
SPB_T29_not_settle	gpa:GPA_18440	699	333	2
SPB_T29_not_settle	rix:RO1_33960	735	249	1
SPB_T29_not_settle	rum:CK1_37030	765	298	4
FAT_008-22-42-0_came_itself	caer:CSV91_03105	729	392	8
FAT_008-22-42-0_came_itself	cct:CC1_02400	714	304	11
FAT_008-22-42-0_came_itself	eel:EUBELI_01662	714	354	5
FAT_008-22-42-0_came_itself	ele:Elen_1167	699	89	1
FAT_008-22-42-0_came_itself	erb:A4V01_10505	705	87	2
FAT_008-22-42-0_came_itself	ere:EUBREC_0087	714	212	3
FAT_008-22-42-0_came_itself	gpa:GPA_18440	699	597	35
FAT_008-22-42-0_came_itself	olo:ADJ70_04955	714	83	2
FAT_008-22-42-0_came_itself	rix:RO1_33960	735	176	2
FAT_008-22-42-0_came_itself	rob:CK5_35820	705	687	16
FAT_008-22-42-0_came_itself	rum:CK1_37030	765	561	17
SPB_T35_settle	caer:CSV91_03105	729	725	34
SPB_T35_settle	cct:CC1_02400	714	633	181
SPB_T35_settle	eel:EUBELI_01662	714	426	54
